ID,Answer
76830921,1
76928466,3
76941799,4
77046849,3
77055680,3
77191908,2
77223130,4
77351033,2
77385014,4
77489893,1
77542276,3
77568643,4
77579186,3
77615090,3
77625307,3
77656181,3
77778761,1
77922941,1
78070257,1
78292622,4
78371095,4
78418870,1
78424571,1
78455034,4
78554132,3
78704818,3
78812539,3
78859312,1
78863985,2
79128204,4
79445573,4
79475961,2
79481164,2
79484337,1
79521846,4
79626238,3
79838033,4
79862714,2
79925355,3
80089041,2
80147902,3
80292130,3
80375966,2
80413498,2
80526466,1
80796404,4
80912341,2
81309761,4
81365939,3
81393484,1
81431090,4
81470530,2
81475034,2
81523252,4
81529488,4
81540226,1
81550727,4
81644700,3
81658464,3
81664693,4
81819221,2
81886619,3
81927587,1
81936940,4
82112909,1
82158851,4
82331983,4
82352006,3
82411272,2
82580870,3
82613409,4
82704835,4
82824301,3
82881242,3
82904957,3
82962895,4
83039782,1
83265943,3
83271023,1
83511300,3
83521315,4
83611299,2
83658769,3
83728881,3
83782100,2
83940944,3
84031466,2
84033787,3
84094119,3
84111897,4
84156694,3
84187169,3
84188564,3
84282018,3
84306779,2
84451702,1
84473599,3
84743378,4
84755024,3
84796226,2
84950682,4
84968926,3
85023084,3
85257776,2
85288088,3
85399160,1
85499220,3
85514149,4
85552240,2
85568783,3
85622370,1
85628436,1
85936937,1
86045512,3
86061857,1
86144637,3
86191535,4
86267405,4
86275141,1
86282620,4
86704920,2
86732024,2
86795766,4
86802959,3
86895680,1
86940522,1
86965358,1
87104232,3
87202322,2
87371423,4
87557229,3
87612483,3
87710423,1
87860223,4
87953343,1
88138234,4
88308145,4
88593051,3
88736969,1
88801705,3
89059540,4
89081452,3
89085362,3
89162865,2
89347218,1
89444676,4
89485108,3
89548280,3
89562203,1
89562802,3
89655213,4
89661254,1
89691137,3
89719394,1
89867153,2
89922717,4
89967925,3
89987139,4
90079815,3
90182926,3
90207524,3
90355334,4
90417297,2
90447911,3
90475835,1
90521769,2
90580976,2
90677007,1
90683541,3
90750044,4
90789704,3
90818217,1
90870753,4
91019889,4
91036685,3
91194289,2
91401452,3
91597373,2
91764749,3
91785292,3
91957842,4
92100484,4
92115100,2
92195557,4
92269580,4
92304979,1
92366164,4
92369351,2
92537096,2
92569574,2
92597137,4
92632640,2
92892478,1
92931682,1
93007242,1
93091289,2
93253888,4
93264710,1
93432075,1
93439336,3
93469217,3
93666962,2
93787020,2
93832900,4
93892625,3
93945414,2
93986394,1
94045014,2
94489790,2
94796582,1
94911851,4
94964351,3
95016442,1
95271275,3
95444847,2
95541373,1
95546236,2
95891098,3
95968879,2
96248568,4
96385441,3
96447635,4
96451423,4
96648059,3
96715271,3
96722195,4
96766603,3
96936128,3
97157258,3
97373138,2
97410704,2
97450729,2
97559200,1
97599133,4
97647301,3
97713655,3
97807607,2
98000175,3
98267927,4
98430210,4
98502966,1
98579961,2
98587143,2
98610949,3
98721567,4
98738485,3
98748827,3
99004971,4
99212436,1
99236758,2
99390631,3
99447882,4
99496052,4
99577046,3
99632910,2
99754201,4
99828105,4
99893610,3
99906994,3
99932833,2
99992286,4
